          R (AU)    Sigma_totale           Omega            Visc            Tmid            Teff              Cs               H             Rho        Pressure            Pbar
   0.7995759E+00   0.1001808E+05   0.2434343E-05   0.6195676E+17   0.1724972E+05   0.9901971E+03   0.8071982E+04   0.1943297E+00   0.1729933E-08   0.3589716E+03   0.3589716E-03
   0.8299321E+00   0.9873997E+04   0.2176874E-05   0.6305042E+17   0.1659996E+05   0.9637282E+03   0.7918496E+04   0.2015932E+00   0.1643618E-08   0.3282136E+03   0.3282136E-03
   0.8614407E+00   0.9731308E+04   0.1946636E-05   0.6415997E+17   0.1597383E+05   0.9379432E+03   0.7767721E+04   0.2091227E+00   0.1561543E-08   0.3000623E+03   0.3000623E-03
   0.8941457E+00   0.9590012E+04   0.1740749E-05   0.6528559E+17   0.1537050E+05   0.9128253E+03   0.7619616E+04   0.2169276E+00   0.1483502E-08   0.2742992E+03   0.2742992E-03
   0.9280922E+00   0.9450104E+04   0.1556638E-05   0.6642746E+17   0.1478917E+05   0.8883582E+03   0.7474138E+04   0.2250180E+00   0.1409299E-08   0.2507239E+03   0.2507239E-03
   0.9633276E+00   0.9311578E+04   0.1391999E-05   0.6758574E+17   0.1422909E+05   0.8645258E+03   0.7331244E+04   0.2334038E+00   0.1338749E-08   0.2291526E+03   0.2291526E-03
   0.9999006E+00   0.9174427E+04   0.1244774E-05   0.6876058E+17   0.1368949E+05   0.8413122E+03   0.7190892E+04   0.2420959E+00   0.1271673E-08   0.2094166E+03   0.2094166E-03
   0.1037862E+01   0.9038643E+04   0.1113119E-05   0.6995215E+17   0.1316966E+05   0.8187021E+03   0.7053041E+04   0.2511050E+00   0.1207902E-08   0.1913616E+03   0.1913616E-03
   0.1077265E+01   0.8904217E+04   0.9953898E-06   0.7116059E+17   0.1266889E+05   0.7966804E+03   0.6917648E+04   0.2604424E+00   0.1147276E-08   0.1748457E+03   0.1748457E-03
   0.1118164E+01   0.8771138E+04   0.8901119E-06   0.7238604E+17   0.1218652E+05   0.7752323E+03   0.6784674E+04   0.2701198E+00   0.1089640E-08   0.1597392E+03   0.1597392E-03
   0.1160615E+01   0.8639395E+04   0.7959688E-06   0.7362864E+17   0.1172188E+05   0.7543435E+03   0.6654076E+04   0.2801493E+00   0.1034850E-08   0.1459229E+03   0.1459229E-03
   0.1204678E+01   0.8508976E+04   0.7117827E-06   0.7488849E+17   0.1127434E+05   0.7339997E+03   0.6525816E+04   0.2905433E+00   0.9827661E-09   0.1332877E+03   0.1332877E-03
